Name,Min Players,Max Players,Play Time,Min Age,Users Rated,Rating Average,Complexity Average,Owned Users,Domain1,above_average,Bayesian Average,Most Notable Genre,Most Notable Mechanic,Price,pct_rated,bayes_above_average
Pandemic Legacy: Season 2,2,4,60,14,12100,8.15,3.25,24373.0,Strategy Games,True,7.72,Environmental,Action Points,63.95,0.5,True
Everdell,1,4,80,13,19552,8.08,2.81,29225.0,Family Games,True,7.84,Animals,Contracts,99.0,0.67,True
Maracaibo,1,4,120,12,7645,8.29,3.87,12042.0,Strategy Games,True,7.7,Economic,Contracts,60.0,0.63,True
Kingdom Death: Monster,1,4,180,17,7553,8.66,4.25,10047.0,Thematic Games,True,7.65,Adventure,Cooperative Game,405.0,0.75,True
Power Grid,2,6,120,12,56214,7.86,3.27,66489.0,Strategy Games,True,7.7,Economic,Auction: Turn Order Until Pass,30.0,0.85,True
Tzolk'in: The Mayan Calendar,2,4,90,13,30790,7.9,3.67,35520.0,Strategy Games,True,7.7,Ancient,Bias,38.0,0.87,True
The Crew: The Quest for Planet Nine,2,5,20,10,15027,8.02,1.99,31356.0,Family Games,True,7.66,Card Game,Communication Limits,16.0,0.48,True
Mechs vs. Minions,2,4,120,14,14056,8.05,2.41,20196.0,Strategy Games,True,7.66,Fantasy,Action Queue,150.0,0.7,True
Underwater Cities,1,4,150,12,9979,8.13,3.58,13474.0,Strategy Games,True,7.78,Card Game,End Game Bonuses,42.5,0.74,True
Star Wars: Imperial Assault,1,5,120,14,20512,8.02,3.3,35018.0,Thematic Games,True,7.67,Adventure,Dice Rolling,64.95,0.59,True
Clans of Caledonia,1,4,120,12,14835,8.01,3.46,17634.0,Strategy Games,True,7.68,Economic,Commodity Speculation,64.0,0.84,True
Anachrony,1,4,120,15,11585,8.1,4.0,15513.0,Strategy Games,True,7.76,Economic,Contracts,89.0,0.75,True
Le Havre,1,5,150,12,26494,7.87,3.74,29701.0,Strategy Games,True,7.68,City Building,Automatic Resource Growth,38.95,0.89,True
Too Many Bones,1,4,120,12,6055,8.45,3.85,9087.0,Strategy Games,True,7.87,Adventure,Cooperative Game,230.0,0.67,True
Through the Ages: A Story of Civilization,2,4,120,12,18004,7.93,4.17,17423.0,Strategy Games,True,7.59,Civilization,Action Points,59.99,1.03,True
Azul,2,4,45,8,53615,7.83,1.77,79526.0,Abstract Games,True,7.63,Abstract Strategy,End Game Bonuses,42.49,0.67,True
Marvel Champions: The Card Game,1,4,90,14,9616,8.2,2.8,16713.0,Customizable Games,True,7.8,Card Game,Card Play Conflict Resolution,10.0,0.58,True
Eclipse,2,6,180,14,26165,7.89,3.7,26710.0,Strategy Games,True,7.61,Civilization,Dice Rolling,53.95,0.98,True
Clank! Legacy: Acquisitions Incorporated,2,4,120,13,3295,8.79,2.7,7209.0,Thematic Games,True,7.95,Adventure,"Deck, Bag, and Pool Building",100.0,0.46,True
Android: Netrunner,2,2,45,14,26748,7.87,3.38,41315.0,Customizable Games,True,7.66,Bluffing,Action Points,25.95,0.65,True
Robinson Crusoe: Adventures on the Cursed Island,1,4,120,14,34179,7.84,3.78,52934.0,Thematic Games,True,7.57,Adventure,Action Queue,46.95,0.65,True
The Voyages of Marco Polo,2,4,100,12,20240,7.87,3.19,22601.0,Strategy Games,True,7.57,Dice,Contracts,56.95,0.9,True
The Gallerist,1,4,150,13,9705,8.04,4.28,13057.0,Strategy Games,True,7.67,Economic,Area Majority / Influence,49.95,0.74,True
Barrage,1,4,120,14,6500,8.22,4.02,8963.0,Strategy Games,True,7.85,Economic,Action Retrieval,149.49,0.73,True
Race for the Galaxy,2,4,60,12,46393,7.76,2.98,56264.0,Strategy Games,True,7.63,Card Game,Follow,19.95,0.82,True
Fields of Arle,1,2,120,13,8111,8.09,3.88,12561.0,Strategy Games,True,7.6,Economic,Automatic Resource Growth,67.5,0.65,True
7 Wonders,2,7,30,10,84371,7.75,2.33,112410.0,Family Games,True,7.57,Ancient,Closed Drafting,29.95,0.75,True
Teotihuacan: City of Gods,1,4,120,14,12970,7.95,3.77,18082.0,Strategy Games,True,7.59,Ancient,Area Movement,59.99,0.72,True
Clank!: A Deck-Building Adventure,2,4,60,12,27893,7.81,2.21,36265.0,Family Games,True,7.61,Adventure,Action Points,52.0,0.77,True
The Quacks of Quedlinburg,2,4,45,10,22327,7.82,1.94,34053.0,Family Games,True,7.68,Medieval,Catch the Leader,33.49,0.66,True
Crokinole,2,4,30,8,12197,7.91,1.25,10561.0,Family Games,True,7.77,Action / Dexterity,Flicking,125.0,1.15,True
Five Tribes,2,4,80,13,32265,7.78,2.86,41676.0,Strategy Games,True,7.62,Arabian,Auction/Bidding,39.95,0.77,True
Dominant Species,2,6,240,14,18018,7.85,4.04,19494.0,Strategy Games,True,7.58,Animals,Action Drafting,46.95,0.92,True
On Mars,1,4,150,14,5781,8.3,4.63,10719.0,Strategy Games,True,7.75,City Building,Contracts,106.0,0.54,True
Lisboa,1,4,120,12,6693,8.18,4.57,10212.0,Strategy Games,True,7.72,City Building,Area Majority / Influence,160.0,0.66,True
Aeon's End,1,4,60,14,10899,8.02,2.76,16345.0,Strategy Games,True,7.61,Card Game,Chit-Pull System,59.95,0.67,True
Lords of Waterdeep,2,5,120,12,45929,7.75,2.46,56283.0,Strategy Games,True,7.59,City Building,Contracts,34.95,0.82,True
Paladins of the West Kingdom,1,4,120,12,8248,8.07,3.67,15192.0,Strategy Games,True,7.68,Medieval,End Game Bonuses,55.0,0.54,True
Keyflower,2,6,120,12,19003,7.8,3.35,22067.0,Strategy Games,True,7.52,City Building,Auction: Fixed Placement,70.0,0.86,True
Agricola (Revised Edition),1,4,120,12,9491,8.04,3.5,13144.0,Strategy Games,True,7.64,Animals,Enclosure,37.49,0.72,True
Pax Pamir: Second Edition,1,5,120,13,4373,8.43,3.75,8538.0,Strategy Games,True,7.79,Economic,Action Points,90.0,0.51,True
Tainted Grail: The Fall of Avalon,1,4,120,14,6134,8.41,3.28,12918.0,Thematic Games,True,7.55,Adventure,Area Movement,375.0,0.47,True
Caylus,2,5,150,12,26796,7.77,3.8,26714.0,Strategy Games,True,7.51,City Building,Action Queue,35.0,1.0,True
Architects of the West Kingdom,1,5,80,12,16886,7.83,2.77,24145.0,Strategy Games,True,7.54,City Building,Contracts,54.9,0.7,True
El Grande,2,5,120,12,23545,7.75,3.05,22629.0,Strategy Games,True,7.58,Medieval,Action Drafting,24.0,1.04,True
Twilight Imperium: Third Edition,3,6,240,14,18302,7.84,4.25,20048.0,Strategy Games,True,7.49,Civilization,Action Points,63.95,0.91,True
Battlestar Galactica: The Board Game,3,6,180,14,32889,7.74,3.24,35758.0,Thematic Games,True,7.54,Bluffing,Area Movement,60.0,0.92,True
Eldritch Horror,1,8,240,14,29347,7.81,3.32,43238.0,Thematic Games,True,7.51,Adventure,Action Points,38.95,0.68,True
Troyes,2,4,90,12,18930,7.76,3.46,21299.0,Strategy Games,True,7.51,Dice,Area Majority / Influence,39.9,0.89,True
Rising Sun,3,5,120,14,15767,7.88,3.28,20763.0,Strategy Games,True,7.47,Bluffing,Action Drafting,160.0,0.76,True
Dominion: Intrigue,2,4,30,13,30118,7.72,2.42,43570.0,Strategy Games,True,7.52,Card Game,"Deck, Bag, and Pool Building",28.95,0.69,True
Mombasa,2,4,150,12,10954,7.88,3.9,13057.0,Strategy Games,True,7.51,Economic,Action Queue,30.0,0.84,True
Grand Austria Hotel,2,4,120,12,12604,7.85,3.22,15014.0,Strategy Games,True,7.69,Economic,Action Drafting,38.0,0.84,True
The Lord of the Rings: Journeys in Middle-Earth,1,5,120,14,8822,8.08,2.57,15716.0,Thematic Games,True,7.51,Adventure,Campaign / Battle Card Driven,86.95,0.56,True
Patchwork,2,2,30,8,46536,7.66,1.64,68860.0,Abstract Games,True,7.49,Abstract Strategy,Grid Coverage,17.5,0.68,True
Raiders of the North Sea,2,4,80,12,15990,7.79,2.53,21145.0,Strategy Games,True,7.52,Medieval,Contracts,34.5,0.76,True
Russian Railroads,2,4,120,12,14845,7.77,3.41,14737.0,Strategy Games,True,7.49,Industry / Manufacturing,End Game Bonuses,37.5,1.01,True
Tigris & Euphrates,2,4,90,12,25321,7.7,3.51,28348.0,Strategy Games,True,7.52,Abstract Strategy,Area Majority / Influence,44.0,0.89,True
Codenames,2,8,15,14,67688,7.62,1.29,107682.0,Party Games,True,7.45,Card Game,Communication Limits,32.0,0.63,True
Roll for the Galaxy,2,5,45,13,26421,7.67,2.77,32192.0,Strategy Games,True,7.43,Civilization,Action Retrieval,29.95,0.82,True
Trajan,2,4,120,12,14728,7.76,3.65,17181.0,Strategy Games,True,7.48,Ancient,Area Movement,42.9,0.86,True
Lorenzo il Magnifico,2,4,120,12,9140,7.89,3.28,11494.0,Strategy Games,True,7.51,Renaissance,Contracts,49.95,0.8,True
Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases,1,8,120,13,17236,7.73,2.68,32905.0,Thematic Games,True,7.4,Deduction,Cooperative Game,110.0,0.52,True
Dominion,2,4,30,13,78089,7.62,2.36,101839.0,Strategy Games,True,7.48,Card Game,"Deck, Bag, and Pool Building",27.95,0.77,True
Pandemic,2,4,45,8,102214,7.61,2.41,155312.0,Family Games,True,7.43,Medical,Action Points,23.5,0.66,True
Pandemic: Iberia,2,5,45,8,8359,7.92,2.58,14808.0,Strategy Games,True,7.45,Medical,Action Points,75.0,0.56,True
Champions of Midgard,2,4,90,10,13345,7.77,2.59,19380.0,Strategy Games,True,7.44,Adventure,Dice Rolling,88.0,0.69,True
Decrypto,3,8,45,12,11690,7.79,1.83,18890.0,Party Games,True,7.54,Deduction,Communication Limits,30.0,0.62,True
Kemet,2,5,120,13,16277,7.72,3.01,18747.0,Strategy Games,True,7.4,Ancient,Action Points,41.95,0.87,True
Yokohama,2,4,90,14,8865,7.85,3.27,12088.0,Strategy Games,True,7.44,Economic,Contracts,90.0,0.73,True
Clank! In! Space!: A Deck-Building Adventure,2,4,90,12,9188,7.86,2.54,13715.0,Strategy Games,True,7.46,Science Fiction,"Deck, Bag, and Pool Building",90.0,0.67,True
Forbidden Stars,2,4,180,14,7516,7.97,3.83,11900.0,Strategy Games,True,7.45,Bluffing,Area Majority / Influence,64.95,0.63,True
Inis,2,4,90,14,12665,7.8,2.88,16477.0,Strategy Games,True,7.54,Card Game,Area Majority / Influence,100.0,0.77,True
The Isle of Cats,1,4,90,8,6450,8.04,2.32,12360.0,Family Games,True,7.43,Animals,Closed Drafting,51.99,0.52,True
Star Wars: X-Wing Miniatures Game,2,2,45,14,23061,7.69,2.49,38018.0,Customizable Games,True,7.39,Aviation / Flight,Action Queue,25.95,0.61,True
Alchemists,2,4,120,13,18250,7.67,3.9,23577.0,Strategy Games,True,7.42,Deduction,Action Drafting,30.0,0.77,True
Stone Age,2,4,90,10,44975,7.57,2.48,47743.0,Family Games,True,7.4,Dice,Contracts,31.99,0.94,True
Legendary Encounters: An Alien Deck Building Game,1,5,60,17,11251,7.79,2.7,16119.0,Thematic Games,True,7.39,Card Game,Cooperative Game,80.0,0.7,True
Vinhos Deluxe Edition,1,4,135,14,4245,8.21,4.05,7957.0,Strategy Games,True,7.46,Economic,Area Majority / Influence,79.9,0.53,True
Endeavor: Age of Sail,2,5,90,13,6265,8.02,2.8,8879.0,Strategy Games,True,7.4,Exploration,Area Majority / Influence,114.0,0.71,True
Star Realms,2,2,20,12,35947,7.58,1.94,52271.0,Strategy Games,True,7.41,Card Game,"Deck, Bag, and Pool Building",28.0,0.69,True
Descent: Journeys in the Dark (Second Edition),1,5,120,14,22715,7.69,3.2,35659.0,Thematic Games,True,7.34,Adventure,Action Points,49.95,0.64,True
Cartographers,1,100,45,10,10754,7.76,1.91,19320.0,Family Games,True,7.42,Fantasy,Bingo,25.0,0.56,True
Res Arcana,2,4,60,12,9719,7.8,2.59,13790.0,Strategy Games,True,7.42,Card Game,Hand Management,37.99,0.7,True
Age of Steam,1,6,120,13,8871,7.78,3.9,9636.0,Strategy Games,True,7.48,Economic,Auction/Bidding,41.0,0.92,True
Istanbul,2,5,60,10,25234,7.58,2.58,30353.0,Strategy Games,True,7.39,Economic,Contracts,32.99,0.83,True
Ticket to Ride: Europe,2,5,60,8,58608,7.55,1.94,83075.0,Family Games,True,7.4,Trains,Connections,29.0,0.71,True
Dead of Winter: A Crossroads Game,2,5,120,13,39287,7.57,3.02,53328.0,Thematic Games,True,7.3,Bluffing,Action Points,42.95,0.74,True
Targi,2,2,60,12,14592,7.64,2.35,22524.0,Strategy Games,True,7.42,Arabian,End Game Bonuses,14.95,0.65,True
War of the Ring,2,4,120,12,9935,7.77,3.85,12793.0,Thematic Games,True,7.36,Adventure,Action Points,48.95,0.78,True
Chaos in the Old World,3,4,120,13,14297,7.68,3.19,14782.0,Strategy Games,True,7.36,Fantasy,Action Points,46.59,0.97,True
Welcome To...,1,100,25,10,17370,7.61,1.82,27392.0,Family Games,True,7.38,City Building,Bingo,32.95,0.63,True
That's Pretty Clever!,1,4,30,8,14352,7.64,1.89,21684.0,Family Games,True,7.38,Dice,Dice Rolling,25.0,0.66,True
Trickerion: Legends of Illusion,2,4,180,14,6665,7.89,4.2,9928.0,Strategy Games,True,7.54,Post-Napoleonic,Action Points,49.99,0.67,True
The Lord of the Rings: The Card Game,1,2,60,13,20805,7.65,3.17,32244.0,Customizable Games,True,7.4,Adventure,Cooperative Game,25.95,0.65,True
Railways of the World,2,6,120,10,11039,7.69,3.02,11902.0,Strategy Games,True,7.33,Trains,Action Points,41.95,0.93,True
The Resistance: Avalon,5,10,30,13,27134,7.58,1.77,38202.0,Party Games,True,7.33,Bluffing,Finale Ending,25.0,0.71,True
Aeon's End: War Eternal,1,4,60,14,3191,8.41,2.91,7541.0,Strategy Games,True,7.46,Card Game,Cooperative Game,100.0,0.42,True
Dinosaur Island,1,4,120,8,11559,7.72,3.04,19263.0,Strategy Games,True,7.27,Animals,Action Points,49.95,0.6,True
PARKS,1,5,60,10,7275,7.89,2.17,14285.0,Family Games,True,7.44,Animals,Contracts,49.0,0.51,True
A Game of Thrones: The Board Game (Second Edition),3,6,240,14,28650,7.6,3.72,38623.0,Strategy Games,True,7.32,Bluffing,Advantage Token,36.95,0.74,True
Castles of Mad King Ludwig,1,4,90,13,22125,7.56,2.66,28039.0,Strategy Games,True,7.33,Post-Napoleonic,End Game Bonuses,38.95,0.79,True
Eclipse: Second Dawn for the Galaxy,2,6,200,14,2556,8.8,3.48,5256.0,Strategy Games,True,7.98,Civilization,Alliances,250.0,0.49,True
Jaipur,2,2,30,12,37225,7.51,1.49,54358.0,Family Games,True,7.37,Card Game,Hand Management,16.99,0.68,True
Hansa Teutonica,2,5,90,12,11496,7.65,3.12,10985.0,Strategy Games,True,7.47,Medieval,Action Points,7.99,1.05,True
Memoir '44,2,8,60,8,25720,7.56,2.27,33786.0,Wargames,True,7.34,Miniatures,Area Majority / Influence,60.0,0.76,True
Ora et Labora,1,4,180,13,9770,7.71,3.9,12289.0,Strategy Games,True,7.32,City Building,Increase Value of Unchosen Resources,42.95,0.8,True
Chronicles of Crime,1,4,90,14,14251,7.8,2.11,23966.0,Thematic Games,True,7.2,Adventure,Cooperative Game,29.99,0.59,True
Commands & Colors: Ancients,2,2,60,12,7987,7.78,2.69,10486.0,Wargames,True,7.31,Ancient,Campaign / Battle Card Driven,58.0,0.76,True
Cosmic Encounter,3,5,120,12,27396,7.54,2.57,33832.0,Strategy Games,True,7.34,Bluffing,Alliances,36.95,0.81,True
T.I.M.E Stories,2,4,90,12,23729,7.55,2.61,35093.0,Thematic Games,True,7.19,Adventure,Cooperative Game,48.0,0.68,True
Sagrada,1,4,45,14,26063,7.53,1.93,40258.0,Abstract Games,True,7.33,Dice,Contracts,74.95,0.65,True
Xia: Legends of a Drift System,3,5,180,12,7357,7.86,3.17,11630.0,Strategy Games,True,7.38,Adventure,Action Points,85.0,0.63,True
Suburbia,1,4,90,8,21584,7.52,2.78,24714.0,Strategy Games,True,7.3,City Building,Auction: Dutch,36.95,0.87,True
This War of Mine: The Board Game,1,6,120,18,8550,7.83,3.25,16050.0,Thematic Games,True,7.35,Adventure,Action Points,90.0,0.53,True
Azul: Summer Pavilion,2,4,45,8,7039,7.83,2.05,12321.0,Abstract Games,True,7.33,Abstract Strategy,End Game Bonuses,37.99,0.57,True
Nations,1,5,200,14,11146,7.64,3.54,12085.0,Strategy Games,True,7.28,Card Game,Events,64.95,0.92,True
Detective: A Modern Crime Board Game,1,5,180,16,7042,7.89,2.72,15633.0,Thematic Games,True,7.21,Deduction,Cooperative Game,65.0,0.45,True
Near and Far,2,4,120,13,7245,7.81,2.82,15697.0,Thematic Games,True,7.28,Adventure,Dice Rolling,79.0,0.46,True
Ticket to Ride: Nordic Countries,2,3,60,8,11646,7.64,1.98,17300.0,Family Games,True,7.32,Trains,Hand Management,49.99,0.67,True
Village,2,4,90,12,20255,7.53,3.07,26348.0,Strategy Games,True,7.3,Economic,Area Majority / Influence,32.99,0.77,True
Paths of Glory,2,2,480,14,4539,8.06,3.84,8630.0,Wargames,True,7.28,Wargame,Campaign / Battle Card Driven,30.0,0.53,True
Combat Commander: Europe,2,2,180,12,5391,7.94,3.25,8073.0,Wargames,True,7.27,Wargame,Advantage Token,49.95,0.67,True
Magic: The Gathering,2,2,20,13,32442,7.52,3.22,35625.0,Customizable Games,True,7.4,Card Game,Betting and Bluffing,40.0,0.91,True
Captain Sonar,2,8,60,14,16007,7.57,2.15,21870.0,Party Games,True,7.31,Deduction,Grid Movement,39.9,0.73,True
Rajas of the Ganges,2,4,75,12,8826,7.7,2.86,11403.0,Strategy Games,True,7.42,Dice,Connections,39.9,0.77,True
Codenames: Duet,2,99,30,11,13985,7.57,1.34,27538.0,Family Games,True,7.26,Card Game,Communication Limits,14.0,0.51,True
Sekigahara: The Unification of Japan,2,2,180,14,4380,8.04,2.77,7464.0,Wargames,True,7.34,Civil War,Action Points,33.95,0.59,True
Just One,3,7,20,8,11775,7.6,1.05,19170.0,Party Games,True,7.43,Party Game,Communication Limits,22.49,0.61,True
The Quest for El Dorado,2,4,60,10,12131,7.61,1.93,19173.0,Family Games,True,7.5,Adventure,"Deck, Bag, and Pool Building",47.0,0.63,True
Star Realms: Colony Wars,2,2,20,12,6075,7.87,1.9,14005.0,Strategy Games,True,7.28,Card Game,"Deck, Bag, and Pool Building",20.0,0.43,True
Splendor,2,4,30,10,58709,7.45,1.8,82849.0,Family Games,True,7.3,Card Game,Contracts,26.95,0.71,True
Santorini,2,4,20,8,27873,7.48,1.73,45672.0,Abstract Games,True,7.22,Abstract Strategy,Grid Movement,54.95,0.61,True
La Granja,1,4,120,12,8756,7.67,3.58,11163.0,Strategy Games,True,7.26,Economic,Area Majority / Influence,79.0,0.78,True
It's a Wonderful World,1,5,60,14,6061,7.88,2.27,9371.0,Strategy Games,True,7.41,Card Game,Closed Drafting,95.0,0.65,True
Coimbra,2,4,90,14,8494,7.69,3.28,11634.0,Strategy Games,True,7.28,Dice,Action Drafting,110.0,0.73,True
Watergate,2,2,60,12,4438,8.0,2.25,8892.0,Strategy Games,True,7.41,Card Game,Action/Event,35.0,0.5,True
Tichu,4,4,60,10,13298,7.58,2.34,20236.0,Strategy Games,True,7.29,Card Game,Hand Management,7.5,0.66,True
Go,2,2,180,8,14843,7.64,4.0,20398.0,Abstract Games,True,7.31,Abstract Strategy,Enclosure,10.0,0.73,True
Ticket to Ride,2,5,60,8,71611,7.42,1.85,97463.0,Family Games,True,7.27,Trains,Connections,31.96,0.73,True
Dune: Imperium,1,4,120,14,2860,8.45,2.88,5682.0,Strategy Games,True,8.23,Movies / TV / Radio theme,Card Play Conflict Resolution,49.99,0.5,True
Legendary: A Marvel Deck Building Game,1,5,60,14,19785,7.57,2.44,30186.0,Thematic Games,True,7.25,Card Game,"Deck, Bag, and Pool Building",29.0,0.66,True
Ra,2,5,60,12,19097,7.47,2.35,18460.0,Strategy Games,True,7.47,Ancient,Auction: Once Around,40.0,1.03,True
Carcassonne,2,5,45,7,101853,7.42,1.91,149337.0,Family Games,True,7.3,Medieval,Area Majority / Influence,14.0,0.68,True
Zombicide: Black Plague,1,6,180,14,12651,7.68,2.51,21612.0,Thematic Games,True,7.24,Adventure,Cooperative Game,189.95,0.59,True
Kanban: Driver's Edition,2,4,120,12,5727,7.84,4.35,7923.0,Strategy Games,True,7.23,Economic,Action Points,59.99,0.72,True
Arcadia Quest,2,4,60,13,9152,7.71,2.53,14420.0,Thematic Games,True,7.17,Adventure,Action Retrieval,275.0,0.63,True
Goa,2,4,90,12,10928,7.58,3.38,10852.0,Strategy Games,True,7.22,Economic,Auction: Once Around,23.5,1.01,True
Horrified,1,5,60,10,6442,7.84,2.05,13549.0,Thematic Games,True,7.33,Horror,Action Points,59.99,0.48,True
The Princes of Florence,2,5,100,12,14555,7.53,3.25,15720.0,Strategy Games,True,7.23,City Building,Auction/Bidding,28.0,0.93,True
Cyclades,2,5,90,13,17873,7.52,2.83,19628.0,Strategy Games,True,7.27,Ancient,Area Majority / Influence,34.95,0.91,True
Secret Hitler,5,10,45,13,18198,7.57,1.69,24770.0,Party Games,True,7.26,Bluffing,Hidden Roles,45.0,0.73,True
Cthulhu: Death May Die,1,5,120,14,3990,8.16,2.42,7733.0,Thematic Games,True,7.72,Fantasy,Action Points,150.0,0.52,True
Sushi Go Party!,2,8,20,8,22327,7.46,1.32,39966.0,Family Games,True,7.24,Card Game,Closed Drafting,15.49,0.56,True
Steam,3,5,90,10,9567,7.59,3.46,10386.0,Strategy Games,True,7.19,Economic,Auction/Bidding,33.6,0.92,True
YINSH,2,2,60,9,7342,7.69,2.7,9380.0,Abstract Games,True,7.28,Abstract Strategy,Catch the Leader,21.0,0.78,True
Viticulture,2,6,90,13,10189,7.59,2.93,8909.0,Strategy Games,True,7.2,Economic,Contracts,79.95,1.14,True
Galaxy Trucker,2,4,60,10,29509,7.41,2.33,32651.0,Thematic Games,True,7.21,Real-time,Dice Rolling,39.99,0.9,True
Deception: Murder in Hong Kong,4,12,20,14,16001,7.5,1.6,23769.0,Party Games,True,7.24,Bluffing,Communication Limits,34.95,0.67,True
Tyrants of the Underdark,2,4,60,14,5083,7.89,2.57,6670.0,Strategy Games,True,7.4,Fantasy,Area Majority / Influence,49.95,0.76,True
Roll Player,1,4,90,10,13286,7.53,2.38,20000.0,Strategy Games,True,7.23,Dice,Dice Rolling,40.0,0.66,True
Shogun,3,5,120,12,12828,7.54,3.37,12921.0,Strategy Games,True,7.21,Economic,Action Queue,29.95,0.99,True
Isle of Skye: From Chieftain to King,2,5,50,8,20425,7.44,2.25,26632.0,Family Games,True,7.23,Economic,Catch the Leader,40.0,0.77,True
1830: Railways & Robber Barons,2,7,360,14,4694,7.88,4.16,7037.0,Strategy Games,True,7.22,Economic,Auction/Bidding,45.0,0.67,True
